country, order_value_EUR , amount,date,category,customer_name,sales_manager,sales_rep,device_type,order_id,product_id
Finland,53616.06,45589.74,2020-03-01,Appliances,Kihn Inc,Hube Corey,Wat Bowkley,PC,84-4478396,P0406
Finland,163967.89,138208.53,2019-05-30,Appliances,Friesen-Rath,Hube Corey,Wat Bowkley,Tablet,28-0849652,T0407
Sweden,171748.56,136574.45,2020-11-20,Games,Walter LLC,Maxie Marrow,Madelon Bront,PC,74-0214938,P0408
France,26103.94,22339.75,2020-08-31,Appliances,"Fisher, Morar and Skiles",Othello Bowes,Ora Grennan,Tablet,89-0187996,T0409
Portugal,140337.34,115708.14,2020-04-09,Appliances,Hegmann Group,Celine Tumasian,Corene Shirer,PC,65-8218141,P0410
Sweden,33617.03,26614.6,2020-07-04,Appliances,Altenwerth-Konopelski,Maxie Marrow,Madelon Bront,PC,49-8489293,P0411
Portugal,187874.45,160031.46,2019-06-26,Accessories,Johns and Sons,Celine Tumasian,Hortense Gerring,PC,91-8142232,P0412
Finland,41675.01,33765.09,2019-06-25,Beauty,"Hamill, Kulas and Roob",Hube Corey,Wat Bowkley,PC,75-5380350,P0413
Portugal,34930.08,28017.42,2019-01-11,Appliances,Kihn Inc,Celine Tumasian,Smitty Culverhouse,PC,35-4551515,P0414
Finland,127994.87,105800.56,2020-01-09,Books,Hegmann Group,Hube Corey,Mellicent Mattys,PC,73-2763209,P0415
Portugal,162637.68,130402.89,2019-09-27,Clothing,Larkin-Collier,Celine Tumasian,Corene Shirer,PC,56-0800364,P0416
Portugal,40728.28,35669.83,2019-09-22,Beauty,Romaguera-Haley,Celine Tumasian,Hortense Gerring,Mobile,42-7027181,M0417
Finland,293767.28,254079.32,2020-05-06,Games,West-Cummings,Hube Corey,Wat Bowkley,PC,29-0601002,P0418
Sweden,57913.36,48693.55,2019-11-09,Games,"Murray, Reichel and Nolan",Maxie Marrow,Alyosha Meah,PC,90-2797129,P0419
UK,63979.04,56032.84,2019-10-22,Games,Schoen-Keeling,Jessamine Apark,Genevra Charrisson,PC,27-3437546,P0420
France,102255.86,83379.43,2020-12-11,Smartphones,Rath-Schroeder,Othello Bowes,Avrit Chanders,PC,78-3726363,P0421
Finland,107271.94,86665,2020-08-23,Games,Johns and Sons,Hube Corey,Wat Bowkley,PC,78-8990131,P0422
Austria,51090.76,40739.77,2020-12-03,Electronics,Smith Group,Orsa Geekin,Bank Coumbe,PC,85-2223377,P0423
Sweden,102299.92,81706.95,2019-08-22,Beauty,"Rowe, Hermiston and Kessler",Maxie Marrow,Alyosha Meah,PC,73-9246627,P0424
France,144204.86,115262.94,2020-08-11,Books,McClure Inc,Othello Bowes,Amelina Piscopiello,PC,56-7910696,P0425
France,36183.97,30579.07,2020-09-08,Books,"Bashirian, Okuneva and Bechtelar",Othello Bowes,Avrit Chanders,Mobile,91-4296427,M0426
UK,47771.76,39234.95,2019-05-29,Beauty,Dibbert Inc,Jessamine Apark,Genevra Charrisson,PC,70-8181545,P0427
Spain,44038.31,36252.34,2020-01-24,Electronics,Corwin and Sons,Emalia Dinse,Manuel Goudie,PC,94-0775004,P0428
Sweden,116469.33,95190.38,2020-01-31,Outdoors,"Hermiston, Simonis and Wisoky",Maxie Marrow,Caro Morfield,PC,89-3466746,P0429
UK,227856.66,199010.01,2020-07-20,Electronics,"Keeling, Monahan and Pollich",Jessamine Apark,Jay Morefield,PC,11-5257937,P0430
Sweden,67161.99,55764.6,2019-09-20,Electronics,"Lubowitz, McLaughlin and Erdman",Maxie Marrow,Tarrah Castelletti,PC,22-7587128,P0431
Ireland,168178.03,142665.42,2020-04-29,Clothing,Walter LLC,Glenine Suttaby,Bunnie Tonbridge,PC,36-7597839,P0432
Sweden,42611.78,35755.54,2020-12-03,Clothing,Walter LLC,Maxie Marrow,Tarrah Castelletti,Mobile,16-2824654,M0433
Sweden,166507.76,143896.01,2020-08-27,Accessories,Labadie and Sons,Maxie Marrow,Madelon Bront,PC,49-1743669,P0434
Spain,131409.9,115325.33,2020-11-15,Electronics,McClure Inc,Emalia Dinse,Bertha Walbrook,PC,48-7252604,P0435
Portugal,133072,108600.06,2020-10-28,Outdoors,O'Connell-Mitchell,Celine Tumasian,Corene Shirer,PC,07-1769568,P0436
Finland,180250.02,147354.39,2019-03-06,Electronics,"Hartmann, Hane and Pfannerstill",Hube Corey,Mellicent Mattys,PC,57-5645459,P0437
Portugal,48090.78,42040.96,2020-03-19,Books,Kihn Inc,Celine Tumasian,Corene Shirer,PC,13-0740797,P0438
Sweden,168530.22,136981.36,2020-05-16,Appliances,West-Cummings,Maxie Marrow,Tarrah Castelletti,PC,34-9966345,P0439
Sweden,36785.28,30546.5,2019-08-31,Appliances,Johns and Sons,Maxie Marrow,Anita Woakes,PC,91-6738094,P0440
Ireland,126409.18,104692.08,2020-04-10,Smartphones,Dibbert Inc,Glenine Suttaby,Bunnie Tonbridge,PC,32-9007470,P0441
Portugal,49990.72,42927.03,2020-04-01,Electronics,"Rowe, Hermiston and Kessler",Celine Tumasian,Smitty Culverhouse,PC,68-6382353,P0442
Sweden,36644.05,30491.51,2020-11-20,Clothing,Larkin-Collier,Maxie Marrow,Caro Morfield,PC,88-5406813,P0443
Sweden,115226.8,94336.18,2019-05-15,Beauty,Wisoky Inc,Maxie Marrow,Tarrah Castelletti,PC,42-2765593,P0444
Finland,154078.75,131336.73,2020-05-09,Books,"Lueilwitz, Kerluke and Lesch",Hube Corey,Wat Bowkley,PC,76-0724533,P0445
Bulgaria,80328.16,65836.96,2020-09-23,Games,"Hermiston, Simonis and Wisoky",Charil Alpe,Bernadine Fullagar,PC,45-3965395,P0446
Portugal,99832.12,84128.53,2019-05-15,Appliances,Romaguera-Haley,Celine Tumasian,Aurelie Wren,PC,46-6126203,P0447
Finland,133057.07,113351.32,2020-03-05,Other,Romaguera-Dietrich,Hube Corey,Wat Bowkley,PC,27-7554919,P0448
Ireland,80719.44,64422.19,2019-09-02,Appliances,Johns and Sons,Glenine Suttaby,Bunnie Tonbridge,PC,59-1230573,P0449
France,124534.96,107012.89,2020-07-18,Books,"Dickinson, Hyatt and Berge",Othello Bowes,Maighdiln Upcraft,PC,45-2229786,P0450
Sweden,67611.54,56191.95,2019-10-30,Clothing,Kihn Inc,Maxie Marrow,Caro Morfield,PC,62-7218897,P0451
France,132760.25,105039.91,2020-07-01,Beauty,"Swaniawski, Runolfsson and Green",Othello Bowes,Crysta Halls,PC,55-4161787,P0452
France,177802.7,155079.51,2019-07-18,Other,Larkin-Collier,Othello Bowes,Amelina Piscopiello,PC,56-2537757,P0453
Bulgaria,98963.03,80367.88,2020-12-10,Accessories,Wyman Group,Charil Alpe,Bernadine Fullagar,PC,20-0021649,P0454
Bulgaria,126582.5,103683.73,2020-02-17,Beauty,"Rowe, Hermiston and Kessler",Charil Alpe,Bernadine Fullagar,PC,93-2627296,P0455
Portugal,141965.11,119193.91,2019-09-18,Beauty,Friesen and Sons,Celine Tumasian,Hortense Gerring,PC,56-2408571,P0456
Ireland,167301.52,147074.77,2019-06-05,Outdoors,"Christiansen, Donnelly and Bechtelar",Glenine Suttaby,Bunnie Tonbridge,PC,80-3206606,P0457
France,133985.91,116741.92,2019-01-15,Clothing,Kihn Inc,Othello Bowes,Amelina Piscopiello,PC,48-3190394,P0458
France,91540.03,74916.36,2019-09-09,Clothing,Kihn Inc,Othello Bowes,Ora Grennan,PC,38-6130023,P0459
UK,146055.05,117822.61,2019-07-10,Clothing,"Hartmann, Hane and Pfannerstill",Jessamine Apark,Winny Agnolo,Tablet,38-2969743,T0460
Sweden,113586.11,91641.27,2019-02-19,Outdoors,Labadie and Sons,Maxie Marrow,Tarrah Castelletti,Mobile,48-8166416,M0461
Ireland,135662.46,116764.68,2020-02-05,Beauty,Corwin and Sons,Glenine Suttaby,Palm Wetherald,PC,33-4102367,P0462
Portugal,113781.45,91104.81,2019-08-10,Books,"Bashirian, Okuneva and Bechtelar",Celine Tumasian,Aurelie Wren,PC,44-5240815,P0463
France,111462.88,94130.4,2020-03-09,Outdoors,Romaguera-Dietrich,Othello Bowes,Avrit Chanders,Tablet,70-9378988,T0464
UK,34748.75,27475.84,2020-09-27,Smartphones,Wiza and Sons,Jessamine Apark,Genevra Charrisson,Tablet,84-9385946,T0465
UK,137306.45,108732.98,2020-04-09,Books,Gislason-Stanton,Jessamine Apark,Winny Agnolo,PC,00-1210718,P0466
Portugal,148212.23,123030.97,2019-10-09,Clothing,Corwin and Sons,Celine Tumasian,Brynn Dempster,PC,92-7917751,P0467
Portugal,159057.92,139923.25,2020-10-24,Smartphones,Johns and Sons,Celine Tumasian,Brynn Dempster,PC,91-3344544,P0468
Sweden,146226.36,117916.94,2020-10-18,Smartphones,"Farrell, Swaniawski and Crist",Maxie Marrow,Alyosha Meah,PC,28-1840061,P0469
Portugal,201537.12,166127.05,2020-10-06,Outdoors,Connelly-Mohr,Celine Tumasian,Brynn Dempster,PC,20-7532198,P0470
Portugal,242192.19,213104.91,2019-02-07,Accessories,"Schowalter, Lesch and Beahan",Celine Tumasian,Smitty Culverhouse,PC,96-7618409,P0471
Luxembourg,172397.66,139986.9,2019-01-27,Clothing,Johns and Sons,Ilsa Kob,Jocelyn Laurentino,PC,47-8186791,P0472
Belgium,152370.57,128478.86,2019-11-20,Games,"Swaniawski, Runolfsson and Green",Lambert Norheny,Collin Mackness,PC,61-8262308,P0473
Portugal,137419.3,117658.4,2020-05-15,Games,Hane Inc,Celine Tumasian,Smitty Culverhouse,Mobile,39-1945268,M0474
France,67594.1,54920.21,2019-09-26,Other,"Rowe, Hermiston and Kessler",Othello Bowes,Amelina Piscopiello,PC,70-1769929,P0475
Luxembourg,72002.26,56996.99,2019-01-17,Appliances,McGlynn-Prosacco,Ilsa Kob,Jocelyn Laurentino,PC,65-0414599,P0476
France,159926.16,126453.61,2020-12-09,Beauty,McGlynn-Prosacco,Othello Bowes,Ora Grennan,Mobile,44-0517932,M0477
France,65193.88,53113.45,2019-04-10,Beauty,Friesen and Sons,Othello Bowes,Maighdiln Upcraft,PC,74-1131921,P0478
Portugal,105374.44,89779.02,2020-02-18,Electronics,Stehr LLC,Celine Tumasian,Brynn Dempster,PC,74-8625042,P0479
UK,83097.4,68148.18,2019-03-22,Clothing,Corwin and Sons,Jessamine Apark,Jay Morefield,Tablet,36-0185776,T0480
Sweden,139682.07,113212.32,2020-01-18,Games,Tromp LLC,Maxie Marrow,Anita Woakes,PC,98-4157323,P0481
France,81095.39,64316.75,2020-08-09,Games,"Murray, Reichel and Nolan",Othello Bowes,Avrit Chanders,PC,36-8783637,P0482
Bulgaria,91108.56,74089.48,2020-06-24,Appliances,Stehr LLC,Charil Alpe,Shermy McGready,PC,34-0286364,P0483
Luxembourg,47182.43,40576.89,2020-02-21,Smartphones,Kirlin and Sons,Ilsa Kob,Jocelyn Laurentino,PC,82-0533747,P0484
Finland,161984.91,138237.92,2020-08-06,Appliances,Romaguera-Dietrich,Hube Corey,Mellicent Mattys,PC,59-9184649,P0485
Sweden,116548.17,92119.67,2020-05-05,Clothing,Johns and Sons,Maxie Marrow,Anita Woakes,PC,03-3136289,P0486
Portugal,138764.6,111414.1,2020-10-05,Appliances,Johns and Sons,Celine Tumasian,Brynn Dempster,PC,79-6676714,P0487
France,148405.47,128845.63,2019-10-27,Electronics,Johns and Sons,Othello Bowes,Amelina Piscopiello,PC,82-1082124,P0488
Netherlands,138249.77,120277.3,2019-09-08,Games,Hessel-Stiedemann,Denice Amberg,Nero Harbisher,PC,79-1331359,P0489
Portugal,115718.87,100640.7,2019-04-24,Electronics,Hilll-Vandervort,Celine Tumasian,Aurelie Wren,PC,84-7042200,P0490
Portugal,194326.7,169005.93,2019-07-07,Books,Johns and Sons,Celine Tumasian,Hortense Gerring,Mobile,42-5303223,M0491
France,38648.72,32368.3,2020-04-12,Beauty,"Leffler, Prohaska and Streich",Othello Bowes,Crysta Halls,Tablet,04-6732680,T0492
Sweden,58010.14,46089.06,2019-11-09,Appliances,"Bashirian, Okuneva and Bechtelar",Maxie Marrow,Tarrah Castelletti,PC,84-9167618,P0493
France,82697.53,69548.62,2020-12-08,Games,Kihn Inc,Othello Bowes,Avrit Chanders,PC,47-5319780,P0494
Sweden,68086.96,58759.05,2019-11-26,Electronics,Stamm-Zulauf,Maxie Marrow,Tarrah Castelletti,PC,20-1013432,P0495
Bulgaria,111106.06,93195.76,2020-11-11,Games,"Hermiston, Simonis and Wisoky",Charil Alpe,Bernadine Fullagar,PC,87-5540520,P0496
Portugal,227830.33,182173.13,2020-10-06,Books,O'Connell-Mitchell,Celine Tumasian,Aurelie Wren,PC,59-3526945,P0497
France,87355.7,74584.3,2019-03-02,Smartphones,Smith Group,Othello Bowes,Crysta Halls,PC,33-4706706,P0498
France,164267.72,139069.05,2020-08-10,Appliances,Hilll-Vandervort,Othello Bowes,Crysta Halls,PC,51-9052860,P0499
UK,92179.76,74794.66,2020-07-25,Beauty,"Dickinson, Hyatt and Berge",Jessamine Apark,Jay Morefield,Tablet,99-9021526,T0500
Sweden,124093.76,105231.51,2019-10-15,Electronics,Armstrong-Little,Maxie Marrow,Anita Woakes,PC,87-0122224,P0501
UK,66391.58,52635.24,2019-04-12,Clothing,Friesen and Sons,Jessamine Apark,Winny Agnolo,Mobile,88-1711226,M0502
France,197471.1,162577.96,2019-06-28,Appliances,Johns and Sons,Othello Bowes,Crysta Halls,PC,59-5711012,P0503
UK,122627.2,100284.52,2019-12-05,Clothing,Wiza and Sons,Jessamine Apark,Winny Agnolo,PC,65-0792739,P0504
UK,159052.7,127926.09,2019-01-06,Games,Stamm Inc,Jessamine Apark,Genevra Charrisson,PC,75-7245546,P0505
Portugal,85515.6,67959.25,2019-10-13,Games,Larkin-Collier,Celine Tumasian,Brynn Dempster,PC,05-0243828,P0506
Portugal,42847.46,34757.86,2020-10-22,Accessories,Morissette Group,Celine Tumasian,Aurelie Wren,PC,14-9919657,P0507
France,125499.82,100977.16,2019-08-04,Beauty,"Spencer, Rogahn and Muller",Othello Bowes,Ora Grennan,PC,47-9191500,P0508
Finland,222379.49,192869.73,2019-10-07,Beauty,Labadie and Sons,Hube Corey,Mellicent Mattys,Mobile,51-3543971,M0509
Portugal,85390.17,74400.46,2019-01-25,Electronics,Stamm-Zulauf,Celine Tumasian,Brynn Dempster,PC,14-4225824,P0510
Portugal,97514.7,80790.93,2020-12-02,Appliances,Tillman and Sons,Celine Tumasian,Hortense Gerring,PC,88-1349718,P0511
UK,87321.89,69254.99,2019-01-17,Electronics,Tillman and Sons,Jessamine Apark,Winny Agnolo,Mobile,62-5120016,M0512
Sweden,205059.8,173029.46,2020-06-23,Electronics,Stehr-Bogan,Maxie Marrow,Caro Morfield,PC,19-4538571,P0513
Portugal,105833.52,85312.4,2019-03-20,Smartphones,McGlynn-Prosacco,Celine Tumasian,Corene Shirer,PC,01-1212783,P0514
France,40043.11,35109.8,2020-07-09,Appliances,Romaguera-Haley,Othello Bowes,Ora Grennan,PC,58-8728288,P0515
Portugal,57859.08,47756.88,2019-08-12,Books,Hessel-Stiedemann,Celine Tumasian,Aurelie Wren,Mobile,95-2190016,M0516
France,132235.46,114132.43,2020-01-06,Books,"Zieme, Bailey and Herzog",Othello Bowes,Ora Grennan,PC,95-4388709,P0517
UK,33724.53,26770.53,2020-01-30,Beauty,Gorczany-Lehner,Jessamine Apark,Winny Agnolo,Mobile,57-8678621,M0518
Ireland,36070.76,29339.96,2019-05-17,Other,Friesen-Rath,Glenine Suttaby,Bunnie Tonbridge,Mobile,22-4278602,M0519
Sweden,39457.34,32793,2020-10-20,Beauty,Morissette Group,Maxie Marrow,Anita Woakes,PC,98-3280428,P0520
Italy,38536.92,32001.06,2020-05-28,Books,"Spencer, Rogahn and Muller",Piggy Roscrigg,Joshua Prevost,Mobile,61-4366487,M0521
France,173829.96,149824.04,2019-09-23,Beauty,Dibbert Inc,Othello Bowes,Amelina Piscopiello,PC,55-2128150,P0522
Portugal,37521.39,29701.93,2020-01-18,Beauty,Friesen-Rath,Celine Tumasian,Hortense Gerring,PC,60-0610487,P0523
Portugal,119409.43,102656.29,2019-06-25,Electronics,"Spencer, Rogahn and Muller",Celine Tumasian,Hortense Gerring,PC,02-9253490,P0524
Denmark,248261.86,206727.65,2019-12-22,Smartphones,Gleichner-Green,Modestia Byfford,Case Desorts,PC,65-2343846,P0525
UK,96669.92,76475.57,2020-12-27,Appliances,Johns and Sons,Jessamine Apark,Winny Agnolo,Mobile,20-0499139,M0526
France,264149.91,208757.67,2020-12-20,Smartphones,"Schmitt, Purdy and Johnson",Othello Bowes,Avrit Chanders,PC,32-3994860,P0527
Portugal,216863.04,175355.45,2019-07-24,Beauty,"Dickinson, Hyatt and Berge",Celine Tumasian,Corene Shirer,Tablet,72-7973717,T0528
France,140943.88,120633.87,2020-05-28,Appliances,Armstrong-Little,Othello Bowes,Avrit Chanders,Tablet,77-0650807,T0529
Luxembourg,82525.61,68446.74,2019-01-03,Clothing,Johns and Sons,Ilsa Kob,Jocelyn Laurentino,PC,34-5150360,P0530
Portugal,19622.59,17148.18,2020-06-03,Clothing,"Fisher, Morar and Skiles",Celine Tumasian,Aurelie Wren,PC,73-4726386,P0531
Sweden,263713.12,216165.64,2020-06-30,Electronics,"Schmitt, Purdy and Johnson",Maxie Marrow,Tarrah Castelletti,PC,78-6165949,P0532
Portugal,284298.56,229656.38,2020-03-07,Clothing,Stehr LLC,Celine Tumasian,Corene Shirer,PC,74-0191565,P0533
Sweden,98320.37,77722.25,2020-08-23,Games,Konopelski LLC,Maxie Marrow,Tarrah Castelletti,Tablet,02-3364199,T0534
UK,128112.26,104975.19,2020-09-12,Books,Hessel-Stiedemann,Jessamine Apark,Jay Morefield,PC,39-8642490,P0535
France,110878.97,90588.12,2020-06-02,Appliances,Konopelski LLC,Othello Bowes,Amelina Piscopiello,PC,50-8357453,P0536
Sweden,66225.71,52437.52,2020-05-09,Books,Larkin-Collier,Maxie Marrow,Alyosha Meah,PC,68-6900528,P0537
UK,73727.91,64047.44,2020-11-10,Books,Romaguera-Haley,Jessamine Apark,Winny Agnolo,PC,92-5154775,P0538
Denmark,22164.96,17938.1,2019-03-14,Books,Wyman Group,Modestia Byfford,Case Desorts,PC,60-7777080,P0539
France,151855.04,129486.79,2019-01-16,Electronics,Considine-Fisher,Othello Bowes,Amelina Piscopiello,PC,54-1473475,P0540
Finland,106115.85,93063.6,2020-02-15,Electronics,Johns and Sons,Hube Corey,Mellicent Mattys,Tablet,51-4531731,T0541
France,89369,72889.36,2020-02-01,Smartphones,"Swaniawski, Runolfsson and Green",Othello Bowes,Ora Grennan,PC,20-6735303,P0542
Sweden,106076.67,84765.87,2019-10-10,Electronics,Romaguera-Haley,Maxie Marrow,Madelon Bront,Mobile,97-5858605,M0543
Netherlands,23290.84,19147.4,2019-02-25,Electronics,Konopelski LLC,Denice Amberg,Nero Harbisher,PC,02-2183787,P0544
France,83340.04,73264.23,2020-05-18,Clothing,Johns and Sons,Othello Bowes,Amelina Piscopiello,PC,65-5818172,P0545
Denmark,39287.29,31708.77,2019-03-15,Games,Tillman and Sons,Modestia Byfford,Cobby Andersen,PC,03-8586261,P0546
Bulgaria,124611.61,107776.58,2020-09-19,Electronics,Wiza and Sons,Charil Alpe,Shermy McGready,PC,86-0928074,P0547
France,147055.1,126114.45,2019-04-15,Games,Friesen-Rath,Othello Bowes,Crysta Halls,PC,77-1100434,P0548
Ireland,130242.41,113050.41,2020-12-30,Smartphones,Johns and Sons,Glenine Suttaby,Palm Wetherald,PC,70-7426559,P0549
France,34771.79,28509.39,2020-03-19,Smartphones,"Rowe, Hermiston and Kessler",Othello Bowes,Maighdiln Upcraft,PC,45-5963143,P0550
Portugal,201573.23,166116.5,2019-05-12,Games,Schuster Inc,Celine Tumasian,Corene Shirer,Mobile,94-3590580,M0551
Sweden,71119.23,59220.98,2019-09-03,Books,Johns and Sons,Maxie Marrow,Alyosha Meah,PC,52-5981325,P0552
Portugal,115538.34,99686.48,2020-01-28,Games,Larkin-Collier,Celine Tumasian,Smitty Culverhouse,PC,74-7472724,P0553
Portugal,144237.38,116111.09,2020-05-11,Books,Johns and Sons,Celine Tumasian,Hortense Gerring,PC,03-3965480,P0554
UK,91561.49,78266.76,2019-03-25,Books,Armstrong-Little,Jessamine Apark,Winny Agnolo,PC,64-4188827,P0555
Sweden,233858.47,185543.31,2020-02-06,Beauty,Romaguera-Dietrich,Maxie Marrow,Alyosha Meah,PC,66-5572109,P0556
UK,256388.08,212058.58,2019-05-12,Appliances,Tromp LLC,Jessamine Apark,Jay Morefield,Mobile,44-2994974,M0557
UK,125099.05,108473.39,2020-05-03,Books,Dibbert Inc,Jessamine Apark,Genevra Charrisson,PC,30-7981953,P0558
UK,121246.32,104005.09,2020-05-30,Books,Altenwerth-Konopelski,Jessamine Apark,Winny Agnolo,PC,82-9740062,P0559
Finland,28538.19,24970.92,2019-05-27,Games,Hilll-Vandervort,Hube Corey,Wat Bowkley,PC,28-7069317,P0560
France,89930.18,78005.44,2020-03-26,Other,Hessel-Stiedemann,Othello Bowes,Maighdiln Upcraft,PC,65-0441590,P0561
Sweden,170457.8,142809.54,2020-08-14,Accessories,"Shanahan, Schaden and Parker",Maxie Marrow,Anita Woakes,PC,60-1991659,P0562
UK,166380.74,146049.01,2020-06-23,Smartphones,Labadie and Sons,Jessamine Apark,Genevra Charrisson,PC,15-2948501,P0563
France,116328.75,93365.45,2019-09-27,Appliances,"Schowalter, Lesch and Beahan",Othello Bowes,Crysta Halls,PC,02-6830973,P0564
Germany,230765.62,195435.4,2019-07-18,Beauty,Johns and Sons,Rickard Doogood,Casie MacBain,PC,70-0112393,P0565
Portugal,152442.32,122258.74,2020-06-10,Electronics,Johns and Sons,Celine Tumasian,Aurelie Wren,PC,04-6161825,P0566
Sweden,325331.99,264592.51,2019-12-23,Games,Altenwerth-Konopelski,Maxie Marrow,Caro Morfield,Mobile,57-4142025,M0567
UK,56768.43,47384.61,2019-04-22,Games,Kihn Inc,Jessamine Apark,Winny Agnolo,PC,84-9254695,P0568
Portugal,147895.45,120416.48,2019-01-07,Clothing,Wisoky Inc,Celine Tumasian,Hortense Gerring,Mobile,17-1884075,M0569
Ireland,57107.26,48232.79,2020-02-13,Outdoors,Altenwerth-Konopelski,Glenine Suttaby,Bunnie Tonbridge,Mobile,49-6263811,M0570
France,85337.78,72306.7,2020-04-02,Appliances,"Lubowitz, McLaughlin and Erdman",Othello Bowes,Crysta Halls,Mobile,78-6287811,M0571
France,162199.24,130878.57,2020-06-22,Appliances,West-Cummings,Othello Bowes,Avrit Chanders,PC,75-1807214,P0572
Sweden,128208.95,111746.92,2020-07-31,Appliances,Dibbert Inc,Maxie Marrow,Alyosha Meah,PC,72-1300449,P0573
Germany,86669.23,71580.12,2020-03-18,Appliances,Hessel-Stiedemann,Rickard Doogood,Casie MacBain,PC,22-4332301,P0574
Ireland,117288.29,94546.09,2019-04-07,Clothing,Johns and Sons,Glenine Suttaby,Palm Wetherald,PC,42-2477150,P0575
France,57292.84,45908.75,2019-03-10,Electronics,"Zieme, Bailey and Herzog",Othello Bowes,Ora Grennan,PC,18-5234470,P0576
Portugal,110441.89,90970.98,2020-04-01,Beauty,"Heaney, Gulgowski and Kshlerin",Celine Tumasian,Hortense Gerring,Tablet,74-4541594,T0577
UK,53801.73,46785.98,2019-09-28,Games,Johns and Sons,Jessamine Apark,Jay Morefield,PC,16-6855831,P0578
UK,308763.51,245714,2020-04-12,Outdoors,Kihn Inc,Jessamine Apark,Winny Agnolo,PC,46-5327740,P0579
Portugal,87409.49,70548.2,2020-11-29,Games,Hessel-Stiedemann,Celine Tumasian,Brynn Dempster,PC,06-4416964,P0580
Denmark,31936.44,27708.06,2020-09-17,Books,"Hartmann, Hane and Pfannerstill",Modestia Byfford,Cobby Andersen,PC,46-6076582,P0581
Sweden,45463.65,36907.39,2020-08-29,Clothing,Schuster Inc,Maxie Marrow,Alyosha Meah,PC,38-1449694,P0582
Sweden,112909.4,93940.62,2019-04-25,Clothing,Johns and Sons,Maxie Marrow,Madelon Bront,PC,39-3557596,P0583
Portugal,126346.44,103970.49,2019-08-04,Smartphones,Johns and Sons,Celine Tumasian,Corene Shirer,PC,26-9990483,P0584
Portugal,109713.84,95769.21,2020-07-05,Smartphones,"Bashirian, Okuneva and Bechtelar",Celine Tumasian,Aurelie Wren,PC,31-7075495,P0585
Netherlands,200472.46,170181.07,2020-06-19,Electronics,Wiza and Sons,Denice Amberg,Nero Harbisher,PC,98-5774102,P0586
France,35214.85,27985.24,2019-03-13,Electronics,"Lueilwitz, Kerluke and Lesch",Othello Bowes,Ora Grennan,PC,46-5580805,P0587
Ireland,161630.62,133991.78,2019-04-04,Appliances,Friesen-Rath,Glenine Suttaby,Palm Wetherald,PC,39-6568658,P0588
Portugal,179184.12,142433.46,2020-08-05,Appliances,"Hamill, Kulas and Roob",Celine Tumasian,Brynn Dempster,PC,85-1464621,P0589
Sweden,80867.18,63982.11,2019-12-02,Books,Dibbert Inc,Maxie Marrow,Anita Woakes,PC,86-6763776,P0590
France,96613.06,79242.03,2019-04-24,Books,Johns and Sons,Othello Bowes,Ora Grennan,PC,03-7559332,P0591
Portugal,89600.45,70811.24,2020-01-21,Games,Wisoky Inc,Celine Tumasian,Smitty Culverhouse,PC,36-7939842,P0592
Portugal,41921.61,34773.98,2020-11-28,Games,Gislason-Stanton,Celine Tumasian,Hortense Gerring,Tablet,38-7603760,T0593
UK,151012.12,126080.02,2020-08-25,Accessories,Johns and Sons,Jessamine Apark,Jay Morefield,PC,11-5630090,P0594
Portugal,112481.44,96700.29,2020-11-04,Electronics,"Dickinson, Hyatt and Berge",Celine Tumasian,Hortense Gerring,Mobile,97-6414953,M0595
France,90228.68,77966.6,2019-01-27,Electronics,Wiza and Sons,Othello Bowes,Avrit Chanders,PC,64-9816105,P0596
UK,141552.4,122994.88,2019-09-17,Beauty,"Dickinson, Hyatt and Berge",Jessamine Apark,Winny Agnolo,PC,59-0893568,P0597
UK,29783.39,23719.49,2019-11-27,Books,"Schmitt, Purdy and Johnson",Jessamine Apark,Winny Agnolo,PC,18-0945763,P0598
Sweden,149938.71,131541.23,2020-12-24,Books,Walter LLC,Maxie Marrow,Madelon Bront,PC,26-1771681,P0599
Sweden,103839.74,90683.24,2020-08-23,Books,Schoen-Keeling,Maxie Marrow,Tarrah Castelletti,PC,57-6427586,P0600
Portugal,30550.32,25457.58,2019-05-31,Beauty,"Farrell, Swaniawski and Crist",Celine Tumasian,Smitty Culverhouse,Mobile,73-3910940,M0601
Sweden,24787.65,20454.77,2019-12-02,Other,"Lueilwitz, Kerluke and Lesch",Maxie Marrow,Caro Morfield,PC,34-8728117,P0602
France,122468.33,103032.61,2020-08-09,Electronics,Johns and Sons,Othello Bowes,Avrit Chanders,Mobile,53-7680732,M0603
Sweden,137026.71,120117.61,2020-08-26,Smartphones,McGlynn-Bergstrom,Maxie Marrow,Anita Woakes,PC,86-6380587,P0604
Finland,132246.48,106841.93,2019-02-01,Games,Friesen-Rath,Hube Corey,Mellicent Mattys,PC,95-1862126,P0605
Portugal,111551.96,89420.05,2020-06-01,Clothing,Wunsch LLC,Celine Tumasian,Aurelie Wren,PC,41-6241712,P0606
France,127946.33,111850.68,2019-09-09,Beauty,"Hamill, Kulas and Roob",Othello Bowes,Crysta Halls,PC,32-3418936,P0607
Sweden,78679.6,62416.53,2019-12-10,Games,Stehr LLC,Maxie Marrow,Tarrah Castelletti,PC,10-1511807,P0608
UK,86071.63,71198.45,2019-11-13,Electronics,Gislason-Stanton,Jessamine Apark,Genevra Charrisson,Tablet,66-6360568,T0609
